Ticker,Name,,Symbol
AZN,AstraZeneca,.L,AZN.L
RDSA,Royal Dutch Shell,.L,RDSA.L
RDSB,Royal Dutch Shell,.L,RDSB.L
ULVR,Unilever,.L,ULVR.L
DGE,Diageo,.L,DGE.L
HSBA,HSBC Holdings,.L,HSBA.L
GSK,GlaxoSmithKline,.L,GSK.L
BP.,BP,.L,BP..L
BATS,British American Tobacco,.L,BATS.L
RIO,Rio Tinto,.L,RIO.L
GLEN,Glencore,.L,GLEN.L
REL,RELX,.L,REL.L
BHP,BHP Group,.L,BHP.L
RKT,Reckitt Benckiser Group,.L,RKT.L
BNC,Banco Santander SA,.L,BNC.L
AAL,Anglo American,.L,AAL.L
NG,National Grid,.L,NG.L
LSEG,London Stock Exchange Group,.L,LSEG.L
PRU,Prudential,.L,PRU.L
LLOY,Lloyds Banking Group,.L,LLOY.L
EXPN,Experian,.L,EXPN.L
BARC,Barclays,.L,BARC.L
VOD,Vodafone Group,.L,VOD.L
CRH,CRH,.L,CRH.L
CPG,Compass Group,.L,CPG.L
FERG,Ferguson,.L,FERG.L
AHT,Ashtead Group,.L,AHT.L
NWG,NatWest Group,.L,NWG.L
TSCO,Tesco,.L,TSCO.L
FLTR,Flutter Entertainment,.L,FLTR.L
SMT,Scottish Mortgage Investment Trust,.L,SMT.L
LGEN,Legal & General Group,.L,LGEN.L
SSE,SSE,.L,SSE.L
BA.,BAE Systems,.L,BA..L
SGRO,Segro,.L,SGRO.L
BT.A,BT Group,.L,BT.A.L
ABF,Associated British Foods,.L,ABF.L
AV.,Aviva,.L,AV..L
IMB,Imperial Brands,.L,IMB.L
WPM,Wheaton Precious Metals Corp,.L,WPM.L
III,3i Group,.L,III.L
CRDA,Croda International,.L,CRDA.L
STAN,Standard Chartered,.L,STAN.L
ANTO,Antofagasta,.L,ANTO.L
WPP,WPP Group,.L,WPP.L
OCDO,Ocado Group,.L,OCDO.L
HLMA,Halma,.L,HLMA.L
SPX,Spirax-Sarco Engineering,.L,SPX.L
SN.,Smith & Nephew,.L,SN..L
JD.,JD Sports Fashion,.L,JD..L
NXT,Next,.L,NXT.L
RTO,Rentokil Initial,.L,RTO.L
SKG,Smurfit Kappa Group,.L,SKG.L
RR.,Rolls-Royce Group,.L,RR..L
AVV,Aveva Group,.L,AVV.L
S32,South32 Ltd,.L,S32.L
ENT,Entain,.L,ENT.L
BNZL,Bunzl,.L,BNZL.L
CCH,Coca-Cola HBC AG,.L,CCH.L
ADM,Admiral Group,.L,ADM.L
ITRK,Intertek Group,.L,ITRK.L
PSN,Persimmon,.L,PSN.L
STJ,St James's Place,.L,STJ.L
MNDI,Mondi,.L,MNDI.L
EVR,Evraz,.L,EVR.L
IHG,InterContinental Hotels Group,.L,IHG.L
SGE,Sage Group,.L,SGE.L
JET,Just Eat Takeaway.Com NV,.L,JET.L
SDR,Schroders,.L,SDR.L
INF,Informa,.L,INF.L
WISE,Wise,.L,WISE.L
BDEV,Barratt Developments,.L,BDEV.L
UU.,United Utilities Group,.L,UU..L
SVT,Severn Trent,.L,SVT.L
BRBY,Burberry Group,.L,BRBY.L
KGF,Kingfisher,.L,KGF.L
IAG,International Consolidated Airlines Group SA,.L,IAG.L
AUTO,Auto Trader Group,.L,AUTO.L
MRO,Melrose Industries,.L,MRO.L
RMV,Rightmove,.L,RMV.L
PHNX,Phoenix Group Holdings,.L,PHNX.L
SBRY,Sainsbury (J),.L,SBRY.L
FRES,Fresnillo,.L,FRES.L
HL.,Hargreaves Lansdown,.L,HL..L
TW.,Taylor Wimpey,.L,TW..L
BME,B&M European Value Retail SA,.L,BME.L
ICP,Intermediate Capital Group,.L,ICP.L
AVST,Avast,.L,AVST.L
SMIN,Smiths Group,.L,SMIN.L
POLY,Polymetal International,.L,POLY.L
WTB,Whitbread,.L,WTB.L
PSH,Pershing Square Holdings Ltd,.L,PSH.L
DCC,DCC,.L,DCC.L
ECM,Electrocomponents,.L,ECM.L
ONT,Oxford Nanopore Technologies,.L,ONT.L
MGGT,Meggitt,.L,MGGT.L
LAND,Land Securities Group,.L,LAND.L
DPH,Dechra Pharmaceuticals,.L,DPH.L
HWDN,Howden Joinery Group,.L,HWDN.L
BKG,Berkeley Group Holdings,.L,BKG.L
SMDS,DS Smith,.L,SMDS.L
ABDN,abrdn,.L,ABDN.L
MNG,M&G,.L,MNG.L
HIK,Hikma Pharmaceuticals,.L,HIK.L
RMG,Royal Mail Group,.L,RMG.L
AAF,Airtel Africa,.L,AAF.L
AIBG,AIB Group,.L,AIBG.L
BLND,British Land Co,.L,BLND.L
FCIT,F&C Investment Trust,.L,FCIT.L
BBOX,Tritax Big Box REIT,.L,BBOX.L
FUTR,Future,.L,FUTR.L
PSON,Pearson,.L,PSON.L
MKS,Marks & Spencer Group,.L,MKS.L
HCM,Hutchmed (China) Ltd,.L,HCM.L
IMI,IMI,.L,IMI.L
WEIR,Weir Group,.L,WEIR.L
ITV,ITV,.L,ITV.L
